creating 10 thread(s)...

*** thread #2 sees value 0
*** thread #5 sees value 1
*** thread #10 sees value 1
*** thread #10 sees value 2
*** thread #8 sees value 1
*** thread #6 sees value 1
*** thread #1 sees value 2
*** thread #2 sees value 3
*** thread #3 sees value 4
*** thread #3 sees value 5
*** thread #4 sees value 6
*** thread #9 sees value 6
*** thread #9 sees value 7
*** thread #9 sees value 8
*** thread #7 sees value 6
*** thread #7 sees value 7
*** thread #7 sees value 8
*** thread #7 sees value 9
*** thread #7 sees value 10
*** thread #4 sees value 7
*** thread #4 sees value 8
*** thread #1 sees value 9
*** thread #2 sees value 10
*** thread #10 sees value 10
*** thread #10 sees value 11
*** thread #8 sees value 10
*** thread #6 sees value 10
*** thread #3 sees value 10
*** thread #3 sees value 11
*** thread #6 sees value 11
*** thread #5 sees value 10
*** thread #4 sees value 11
*** thread #1 sees value 12
*** thread #1 sees value 13
*** thread #3 sees value 14
*** thread #3 sees value 15
*** thread #3 sees value 16
*** thread #9 sees value 17
*** thread #7 sees value 18
*** thread #7 sees value 19
*** thread #10 sees value 20
*** thread #8 sees value 21
*** thread #8 sees value 22
*** thread #8 sees value 23
*** thread #6 sees value 24
*** thread #5 sees value 25
*** thread #5 sees value 26
*** thread #5 sees value 27
*** thread #5 sees value 28
*** thread #5 sees value 29
*** thread #5 sees value 30
*** thread #5 sees value 31
*** thread #4 sees value 32
*** thread #2 sees value 33
*** thread #1 sees value 34
*** thread #1 sees value 35
*** thread #4 sees value 36
*** thread #4 sees value 37
*** thread #2 sees value 38
*** thread #3 sees value 39
*** thread #9 sees value 40
*** thread #7 sees value 41
*** thread #7 sees value 42
*** thread #7 sees value 43
*** thread #10 sees value 44
*** thread #8 sees value 45
*** thread #6 sees value 46
*** thread #6 sees value 47
*** thread #5 sees value 48
*** thread #4 sees value 49
*** thread #4 sees value 50
*** thread #1 sees value 51
*** thread #1 sees value 52
*** thread #1 sees value 53
*** thread #2 sees value 54
*** thread #4 sees value 55
*** thread #4 sees value 56
*** thread #4 sees value 57
*** thread #1 sees value 58
*** thread #1 sees value 59
*** thread #3 sees value 60
*** thread #9 sees value 61
*** thread #7 sees value 62
*** thread #10 sees value 63
*** thread #8 sees value 64
*** thread #8 sees value 65
*** thread #6 sees value 66
*** thread #6 sees value 67
*** thread #5 sees value 68
*** thread #4 sees value 69
*** thread #2 sees value 70
*** thread #2 sees value 71
*** thread #2 sees value 72
*** thread #1 sees value 73
*** thread #3 sees value 74
*** thread #3 sees value 75
*** thread #9 sees value 76
*** thread #7 sees value 77
*** thread #7 sees value 78
*** thread #4 sees value 79
*** thread #4 sees value 80
*** thread #2 sees value 81
*** thread #2 sees value 82
*** thread #2 sees value 83
*** thread #2 sees value 84
*** thread #2 sees value 85
*** thread #2 sees value 86
*** thread #1 sees value 87
*** thread #1 sees value 88
*** thread #1 sees value 89
*** thread #5 sees value 85
*** thread #5 sees value 86
*** thread #5 sees value 87
*** thread #5 sees value 88
*** thread #9 sees value 85
*** thread #7 sees value 85
*** thread #3 sees value 85
*** thread #10 sees value 85
*** thread #10 sees value 86
*** thread #4 sees value 87
*** thread #8 sees value 85
*** thread #8 sees value 86
*** thread #8 sees value 87
*** thread #6 sees value 85
*** thread #6 sees value 86
*** thread #6 sees value 87
*** thread #4 sees value 88
*** thread #4 sees value 89
*** thread #2 sees value 90
*** thread #2 sees value 91
*** thread #1 sees value 92
*** thread #1 sees value 93
*** thread #3 sees value 94
*** thread #3 sees value 95
*** thread #5 sees value 96
*** thread #5 sees value 97
*** thread #5 sees value 98
*** thread #9 sees value 99
*** thread #7 sees value 100
*** thread #10 sees value 101
*** thread #4 sees value 102
*** thread #2 sees value 103
*** thread #1 sees value 104
*** thread #1 sees value 105
*** thread #1 sees value 106
thread #1 sees final value 107
*** thread #8 sees value 107
*** thread #6 sees value 107
*** thread #6 sees value 108
*** thread #6 sees value 109
*** thread #6 sees value 110
*** thread #6 sees value 111
*** thread #3 sees value 112
*** thread #5 sees value 113
*** thread #9 sees value 114
*** thread #9 sees value 115
*** thread #9 sees value 116
*** thread #7 sees value 117
*** thread #7 sees value 118
*** thread #10 sees value 119
*** thread #10 sees value 120
*** thread #4 sees value 121
thread #4 sees final value 122
*** thread #2 sees value 122
*** thread #2 sees value 123
thread #2 sees final value 124
*** thread #3 sees value 124
*** thread #8 sees value 125
*** thread #8 sees value 126
*** thread #8 sees value 127
*** thread #6 sees value 128
*** thread #5 sees value 129
thread #5 sees final value 130
*** thread #9 sees value 130
*** thread #9 sees value 131
*** thread #9 sees value 132
*** thread #9 sees value 133
*** thread #7 sees value 134
*** thread #10 sees value 135
*** thread #10 sees value 136
*** thread #3 sees value 137
*** thread #8 sees value 138
*** thread #8 sees value 139
*** thread #6 sees value 140
*** thread #6 sees value 141
*** thread #9 sees value 142
*** thread #7 sees value 143
*** thread #7 sees value 144
thread #7 sees final value 145
*** thread #10 sees value 145
*** thread #3 sees value 146
*** thread #8 sees value 147
*** thread #6 sees value 148
thread #6 sees final value 149
*** thread #9 sees value 149
*** thread #10 sees value 150
*** thread #3 sees value 151
*** thread #3 sees value 152
thread #3 sees final value 153
*** thread #8 sees value 153
*** thread #9 sees value 154
*** thread #10 sees value 155
*** thread #8 sees value 156
thread #8 sees final value 157
*** thread #9 sees value 157
thread #9 sees final value 158
*** thread #10 sees value 158
*** thread #10 sees value 159
*** thread #10 sees value 160
thread #10 sees final value 161
